Unnamed,Quantidade (g/ml),Nome do alimento,Kcal,CHO,PTN,LIP,Origem da PTN,Tipo,Info Adicional,Autor
1.0,100.0,Farinha de Arroz,366.0,80.1,5.9,1.4,Vegetal,Personalizado - CARB-1,,Instagram do autor
2.0,100.0,Farinha de Arroz,366.0,80.1,5.9,1.4,Vegetal,Personalizado - CARB-2,,@godoirafaell
3.0,100.0,Aveia Flocos,352.0,57.0,14.5,7.9,Vegetal,Personalizado - CARB-3,,
4.0,100.0,Aveia Farelo,246.0,66.2,17.3,7.03,Vegetal,Personalizado - CARB-4,,
5.0,100.0,Sucrilhoss,365.0,76.5,6.0,2.0,Vegetal,Personalizado - CARB-5,,Instagram do desenvolvedor
6.0,100.0,Granola,367.0,57.5,9.0,6.7,Vegetal,Personalizado - CARB-6,,@rafaell.barcellos
7.0,100.0,Pão frances,310.0,52.0,11.0,5.0,Vegetal,Personalizado - CARB-7,,
8.0,100.0,Tapioca,347.0,85.0,0.18,0.2,Vegetal,Personalizado - CARB-8,,
9.0,100.0,Pão de forma,250.0,48.0,7.8,3.0,Vegetal,Personalizado - CARB-9,,
10.0,100.0,Rap 10,289.0,46.0,7.8,8.2,Vegetal,Personalizado - CARB-10,,
11.0,100.0,Pão pita (arabe ou sirio),275.0,56.0,9.0,1.2,Vegetal,Personalizado - CARB-11,,
12.0,100.0,Arroz branco,128.0,28.0,2.7,0.3,Vegetal,Personalizado - CARB-12,,
13.0,100.0,Batata (inglesa ou doce),100.0,12.0,1.2,0.0,Vegetal,Personalizado - CARB-13,,
14.0,100.0,Nhoque (de batata sem molho),153.0,33.0,4.0,0.5,Vegetal,Personalizado - CARB-14,,
15.0,100.0,Macarrão (com molho de tomate),158.0,30.0,5.8,0.9,Vegetal,Personalizado - CARB-15,,
16.0,100.0,Mandioca,130.0,29.0,0.6,0.5,Vegetal,Personalizado - CARB-16,,
17.0,100.0,Pão de hamburguer,274.0,44.0,12.0,5.0,Vegetal,Personalizado - CARB-17,,
18.0,100.0,Mandioquinha (cozida ou assada),80.0,18.9,0.9,0.2,Vegetal,Personalizado - CARB-18,,
19.0,100.0,Abobora (cabotia ou moranga),48.0,10.7,1.4,0.7,Vegetal,Personalizado - CARB-19,,
20.0,100.0,Pipoca só com sal,448.0,70.3,9.9,15.8,Vegetal,Personalizado - CARB-20,,
21.0,100.0,Lasanha,164.0,32.5,5.8,1.2,Vegetal,Personalizado - CARB-21,,
22.0,100.0,Pamonha ,171.0,30.7,2.6,4.8,Vegetal,Personalizado - CARB-22,,
23.0,100.0,Cuscuz (cozido com sal),113.0,25.3,2.2,0.7,Vegetal,Personalizado - CARB-23,,
1.0,100.0,Filé de sobrecoxa,233.0,0.0,29.2,12.0,Animal,Personalizado - PROT-1,,
2.0,100.0,Peito de Frango,159.0,0.0,32.0,2.5,Animal,Personalizado - PROT-2,,
3.0,100.0,Figado de frango,106.0,0.0,17.6,3.5,Animal,Personalizado - PROT-3,,
4.0,100.0,Moela de frango,94.0,0.0,18.0,2.1,Animal,Personalizado - PROT-4,,
5.0,100.0,Acem,215.0,0.0,27.3,10.0,Animal,Personalizado - PROT-5,,
6.0,100.0,Coração de galinha grelhado,207.0,0.0,22.4,12.1,Animal,Personalizado - PROT-6,,
7.0,100.0,Figado de Boi,175.0,5.16,26.5,4.68,Animal,Personalizado - PROT-7,,
8.0,100.0,Filé mignon Suino,106.0,0.0,22.0,2.0,Animal,Personalizado - PROT-8,,
9.0,100.0,Lombo suino,176.0,0.0,22.6,8.8,Animal,Personalizado - PROT-9,,
10.0,100.0,Carne seca bovina,313.0,0.0,26.9,21.9,Animal,Personalizado - PROT-10,,
11.0,100.0,Salmão Filé ou Posta,170.0,0.0,19.3,9.7,Animal,Personalizado - PROT-11,,
12.0,100.0,Whey Protein 80%,400.0,15.0,75.0,7.0,Animal,Personalizado - PROT-12,,
1.0,100.0,Bacon,541.0,1.42,37.04,41.78,Animal,Personalizado - LIP-1,,
2.0,100.0,Margarina Becel,324.0,0.0,0.0,36.0,Animal,Personalizado - LIP-2,,
3.0,100.0,Requeijão,300.0,3.67,11.0,26.67,Animal,Personalizado - LIP-3,,
4.0,100.0,Queijo Cottage,196.0,6.4,24.0,8.6,Animal,Personalizado - LIP-4,,
5.0,100.0,Mussarela,318.0,2.47,21.6,24.64,Animal,Personalizado - LIP-5,,
6.0,100.0,Ricota,156.0,4.05,11.32,10.44,Animal,Personalizado - LIP-6,,
7.0,100.0,Queijo Minas,336.0,6.9,18.96,26.09,Animal,Personalizado - LIP-7,,
8.0,100.0,Manteiga aviação,746.0,0.6,0.6,83.0,Animal,Personalizado - LIP-8,,
9.0,100.0,Azeite extra virgem,884.0,0.0,0.0,100.0,Vegetal,Personalizado - LIP-9,,
10.0,100.0,Pasta de amendoim,588.0,20.0,25.0,50.0,Vegetal,Personalizado - LIP-10,,
34.0,100.0,Arroz integral cozido,124.0,25.8,2.6,1.0,Vegetal,TACO - CARB-24,,
35.0,100.0,Arroz branco cozido,128.0,28.2,2.5,0.2,Vegetal,TACO - CARB-25,,
36.0,100.0,Feijão carioca cozido,76.0,13.6,4.8,0.5,Vegetal,TACO - CARB-26,,
37.0,100.0,Lentilha cozida,93.0,16.3,6.3,0.4,Vegetal,TACO - CARB-27,,
38.0,100.0,Grão-de-bico cozido,121.0,21.0,8.0,2.1,Vegetal,TACO - CARB-28,,
39.0,100.0,Milho verde cozido,138.0,28.6,6.6,0.7,Vegetal,TACO - CARB-29,,
40.0,100.0,Batata inglesa cozida,52.0,11.9,1.2,0.0,Vegetal,TACO - CARB-30,,
41.0,100.0,Batata doce cozida,77.0,18.4,0.6,0.1,Vegetal,TACO - CARB-31,,
42.0,100.0,Mandioca cozida,125.0,30.1,0.6,0.3,Vegetal,TACO - CARB-32,,
43.0,100.0,Inhame cozido,97.0,23.2,2.1,0.2,Vegetal,TACO - CARB-33,,
44.0,100.0,Cará cozido,94.0,22.9,1.7,0.1,Vegetal,TACO - CARB-34,,
45.0,100.0,Macarrão integral cozido,124.0,25.4,4.5,0.8,Vegetal,TACO - CARB-35,,
46.0,100.0,Pão de centeio,258.0,48.3,8.5,1.8,Vegetal,TACO - CARB-36,,
47.0,100.0,Pão integral,253.0,44.7,11.5,3.7,Vegetal,TACO - CARB-37,,
48.0,100.0,Quinoa cozida,120.0,21.3,4.4,1.9,Vegetal,TACO - CARB-38,,
49.0,100.0,Aveia em flocos,394.0,66.6,13.9,8.5,Vegetal,TACO - CARB-39,,
50.0,100.0,Polenta cozida,59.0,13.9,1.4,0.2,Vegetal,TACO - CARB-40,,
13.0,100.0,Carne bovina cozida,219.0,0.0,26.4,12.0,Animal,TACO - PROT-13,,
14.0,100.0,Frango grelhado,187.0,0.0,28.0,7.6,Animal,TACO - PROT-14,,
15.0,100.0,Peixe assado,147.0,0.0,26.6,3.9,Animal,TACO - PROT-15,,
16.0,100.0,Ovo de galinha cozido,146.0,0.8,13.3,9.5,Animal,TACO - PROT-16,,
17.0,100.0,Clara de ovo cozida,59.0,0.7,12.4,0.1,Animal,TACO - PROT-17,,
18.0,100.0,Gema de ovo cozida,352.0,1.2,15.9,30.6,Animal,TACO - PROT-18,,
19.0,100.0,Atum enlatado em água,126.0,0.0,25.7,1.2,Animal,TACO - PROT-19,,
20.0,100.0,Sardinha enlatada,164.0,0.0,24.1,7.5,Animal,TACO - PROT-20,,
21.0,100.0,Carne suína assada,262.0,0.0,26.8,16.6,Animal,TACO - PROT-21,,
22.0,100.0,Peito de peru,93.0,0.0,20.0,1.0,Animal,TACO - PROT-22,,
23.0,100.0,Queijo minas frescal,264.0,3.2,17.4,20.5,Animal,TACO - PROT-23,,
